lr,wd
0.001,0.1
0.001,0.01
0.001,0.001
0.001,0.0001
0.001,1e-05
0.001,1e-06
0.001,1e-07
0.001,1e-08
0.001,1e-09
0.001,1e-10
0.0005,0.1
0.0005,0.01
0.0005,0.001
0.0005,0.0001
0.0005,1e-05
0.0005,1e-06
0.0005,1e-07
0.0005,1e-08
0.0005,1e-09
0.0005,1e-10
0.0001,0.1
0.0001,0.01
0.0001,0.001
0.0001,0.0001
0.0001,1e-05
0.0001,1e-06
0.0001,1e-07
0.0001,1e-08
0.0001,1e-09
0.0001,1e-10
5e-05,0.1
5e-05,0.01
5e-05,0.001
5e-05,0.0001
5e-05,1e-05
5e-05,1e-06
5e-05,1e-07
5e-05,1e-08
5e-05,1e-09
5e-05,1e-10
1e-05,0.1
1e-05,0.01
1e-05,0.001
1e-05,0.0001
1e-05,1e-05
1e-05,1e-06
1e-05,1e-07
1e-05,1e-08
1e-05,1e-09
1e-05,1e-10
